"(TIMEDIFF(session_end_date_time, session_start_date_time))"
342:47:35
290:03:43
284:58:26
279:39:37
245:47:01
180:44:48
178:02:09
169:30:20
168:43:45
165:42:25
164:41:47
153:18:48
150:44:44
150:36:08
150:08:50
145:30:34
144:50:45
139:27:46
137:58:40
137:19:48
128:05:06
127:19:01
125:04:48
125:04:13
124:30:58
122:35:27
119:12:49
117:09:31
116:22:53
115:58:31
115:39:44
115:06:44
110:19:29
107:41:26
106:44:03
102:45:26
102:40:47
101:52:45
101:07:13
100:47:05
100:45:58
99:14:11
99:02:02
98:32:02
98:01:03
97:21:59
97:10:09
96:50:11
95:51:47
95:49:26
95:17:03
95:09:57
95:00:35
94:55:36
94:45:25
94:41:56
94:36:00
93:50:25
93:08:52
91:32:05
91:28:00
90:06:31
89:39:22
89:19:36
86:33:22
86:25:12
84:17:43
83:13:52
82:52:35
82:34:27
81:52:18
81:30:16
80:03:21
80:02:04
79:19:28
78:52:05
78:38:21
78:19:44
77:19:40
76:45:39
76:31:10
76:23:12
76:04:09
75:54:52
75:39:13
75:10:33
74:54:46
74:35:54
74:16:45
73:58:03
73:46:51
73:39:49
73:37:04
73:28:37
73:23:33
73:16:20
72:46:20
72:36:35
72:30:11
72:19:32
72:18:35
72:10:13
72:08:45
71:20:45
71:18:16
70:30:36
70:05:39
70:04:17
69:58:50
69:57:12
69:51:04
69:46:54
69:31:16
68:24:38
67:26:24
67:08:09
67:00:50
66:54:45
66:51:09
66:49:10
66:39:34
66:17:24
65:35:52
65:11:36
63:45:26
63:12:09
63:08:40
63:07:48
62:59:17
62:23:51
62:05:36
61:38:47
61:38:40
60:28:47
59:50:10
59:07:42
57:31:04
57:15:09
56:56:08
56:49:29
56:39:11
56:07:27
56:06:56
55:55:45
55:37:12
55:32:46
55:19:59
55:18:33
55:12:48
55:03:00
54:50:49
54:35:07
53:50:24
53:47:58
53:46:42
53:44:12
53:36:36
53:28:47
53:18:24
52:51:43
52:36:49
52:09:28
52:07:21
51:57:14
51:50:43
51:46:18
51:36:43
51:33:05
51:31:10
51:10:01
51:01:15
50:45:31
50:37:51
50:37:47
50:35:06
50:22:59
50:19:29
50:19:28
50:15:00
49:57:38
49:54:55
49:49:40
49:46:17
49:32:28
49:29:57
49:24:18
49:02:05
48:55:52
48:40:33
48:36:59
48:36:26
48:29:05
48:24:59
48:16:19
48:09:30
48:00:55
47:21:46
47:20:31
47:07:55
47:07:17
46:59:52
46:51:26
46:50:54
46:48:33
46:44:04
46:34:55
46:29:18
45:58:12
45:50:22
45:07:33
45:04:40
45:04:13
44:55:51
44:45:15
